"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","LOAD_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_AREA_NAME","LABEL","XML_DATA_ITEM","POS","MW","EXECUTION_TYPE","GROUP"
"86","2019-04-23T23:00:00-00:00","2019-04-24T00:00:00-00:00",0,"2019-04-23",17,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,27635,"ACTUAL",4
"87","2019-04-23T18:00:00-00:00","2019-04-23T19:00:00-00:00",0,"2019-04-23",12,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,24272,"ACTUAL",4
"88","2019-04-23T13:00:00-00:00","2019-04-23T14:00:00-00:00",0,"2019-04-23",7,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,23033,"ACTUAL",4
"89","2019-04-24T04:00:00-00:00","2019-04-24T05:00:00-00:00",0,"2019-04-23",22,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,28203,"ACTUAL",4
"90","2019-04-24T03:00:00-00:00","2019-04-24T04:00:00-00:00",0,"2019-04-23",21,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,29805,"ACTUAL",4
"91","2019-04-23T11:00:00-00:00","2019-04-23T12:00:00-00:00",0,"2019-04-23",5,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,20042,"ACTUAL",4
"92","2019-04-23T20:00:00-00:00","2019-04-23T21:00:00-00:00",0,"2019-04-23",14,0,"ACTUAL","CA ISO-TAC","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3,25241,"ACTUAL",4
"93","2019-04-24T05:00:00-00:00","2019-04-24T06:00:00-00:00",0,"2019-04-23",23,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1490,"ACTUAL",5
"94","2019-04-23T09:00:00-00:00","2019-04-23T10:00:00-00:00",0,"2019-04-23",3,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1269,"ACTUAL",5
"95","2019-04-23T12:00:00-00:00","2019-04-23T13:00:00-00:00",0,"2019-04-23",6,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1588,"ACTUAL",5
"96","2019-04-24T03:00:00-00:00","2019-04-24T04:00:00-00:00",0,"2019-04-23",21,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1769,"ACTUAL",5
"97","2019-04-24T02:00:00-00:00","2019-04-24T03:00:00-00:00",0,"2019-04-23",20,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1796,"ACTUAL",5
"98","2019-04-23T14:00:00-00:00","2019-04-23T15:00:00-00:00",0,"2019-04-23",8,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1701,"ACTUAL",5
"99","2019-04-24T00:00:00-00:00","2019-04-24T01:00:00-00:00",0,"2019-04-23",18,0,"ACTUAL","IPCO","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,1780,"ACTUAL",5
