Plant Name,1,2,3,4,5,6,7,8,9,10,11,12
Grizzly,0,0,0,0,0,0,0,0,0,0,0,0
Lake Mendocino,525,790,"1,571","1,689","1,606","1,588","1,470","1,364","1,023",794,636,749
Deadwood Creek,186,280,557,598,569,563,521,483,363,281,225,265
Monticello Dam,"1,681","2,527","5,026","5,403","5,137","5,082","4,704","4,364","3,274","2,540","2,033","2,396"
Pine Flat,0,0,"71,591","59,977","118,919","134,759","143,428","105,645","44,501","35,498",238,0
Kern Canyon,0,0,0,0,0,0,0,0,0,0,0,0
Diamond Valley Lake,689,"1,036","2,060","2,215","2,106","2,083","1,928","1,789","1,342","1,041",834,982
Gosselin Hydro Plant,209,314,624,671,638,631,584,542,407,315,253,298
Isabella Hydro Project,"1,736","2,610","5,191","5,580","5,306","5,249","4,858","4,508","3,381","2,623","2,100","2,475"
Whitewater Hydro Plant,152,229,456,490,466,461,427,396,297,230,184,217
Tulare Success Power Project,145,219,435,468,445,440,407,378,283,220,176,207
Haypress,590,887,"1,765","1,897","1,803","1,784","1,651","1,532","1,149",892,714,841
Big Creek Water Works,"1,215","1,094","1,964","1,912","1,591",266,0,0,0,0,0,0
Muck Valley Hydroelectric,"3,170","4,767","9,481","10,191","9,690","9,586","8,873","8,232","6,175","4,790","3,836","4,519"
Burney Creek,337,507,"1,009","1,085","1,032","1,021",945,876,657,510,408,481
Cove Hydroelectric,686,"1,031","2,051","2,205","2,096","2,074","1,919","1,781","1,336","1,036",830,978
Lost Creek I,247,372,739,795,756,748,692,642,482,374,299,352
Ponderosa Bailey Creek,145,218,433,466,443,438,406,376,282,219,175,207
Bidwell Ditch Project,289,434,863,928,882,873,808,749,562,436,349,411
Roaring Creek Water Power,299,450,894,961,914,904,837,777,582,452,362,426
Hatchet Creek Project,910,"1,368","2,722","2,925","2,782","2,752","2,547","2,363","1,773","1,375","1,101","1,297"
Rio Bravo Hydro Project,"1,509","2,270","4,514","4,853","4,614","4,565","4,225","3,920","2,940","2,281","1,826","2,152"
Santa Felicia Dam,35,52,104,112,106,105,97,90,68,53,42,50
Indian Valley Dam Hydro Project,315,474,943,"1,013",964,953,882,819,614,476,381,449
R E Badger Filtration Plant,0,0,0,0,0,0,0,0,0,0,0,0
Bear Creek,237,357,709,763,725,717,664,616,462,358,287,338
Box Canyon Dam,796,"1,197","2,382","2,560","2,434","2,408","2,229","2,068","1,551","1,203",964,"1,135"
Olsen,539,811,"1,612","1,733","1,648","1,630","1,509","1,400","1,050",815,652,769
Woodward Power Plant,84,126,251,269,256,253,235,218,163,127,101,120
Frankenheimer Power Plant,481,723,"1,438","1,546","1,470","1,454","1,346","1,249",937,727,582,686
Nelson Creek,98,147,293,315,299,296,274,254,191,148,119,140
San Dimas Wash Generating Station,115,173,344,370,351,348,322,299,224,174,139,164
Site 980 65,147,221,439,472,449,444,411,381,286,222,178,209
Forks of Butte Hydro Project,"2,028","3,050","6,066","6,520","6,200","6,133","5,677","5,267","3,950","3,065","2,454","2,891"
Nacimiento Hydro Project,503,756,"1,504","1,617","1,537","1,521","1,408","1,306",980,760,609,717
East Portal Generator,212,319,635,682,649,642,594,551,413,321,257,303
Friant Hydro Facility,"6,808","10,237","20,361","21,886","20,811","20,587","19,055","17,679","13,261","10,288","8,237","9,705"
Sand Bar Power Plant,"4,093","6,156","12,243","13,160","12,513","12,379","11,457","10,630","7,974","6,186","4,953","5,836"
Gas Utilization Facility,0,0,0,0,0,0,0,0,0,0,0,0
Bowman,543,817,"1,625","1,746","1,660","1,643","1,520","1,411","1,058",821,657,774
New Hogan Power Plant,395,594,"1,182","1,270","1,208","1,195","1,106","1,026",770,597,478,563
Rock Creek LP,65,98,194,208,198,196,181,168,126,98,78,92
Slate Creek,0,0,0,0,0,0,0,0,0,0,0,0
San Gabriel Hydro Project,348,523,"1,041","1,119","1,064","1,053",974,904,678,526,421,496
Warm Springs Hydro Project,0,0,0,0,0,0,0,0,0,0,0,0
Three Forks Water Power Project,251,377,750,806,767,758,702,651,489,379,303,358
Terminus Hydroelectric Project,"2,536","3,814","7,585","8,153","7,753","7,669","7,099","6,586","4,940","3,833","3,069","3,616"
Spicer Meadow Project,611,919,"1,828","1,965","1,868","1,848","1,710","1,587","1,190",923,739,871
Collierville Powerhouse,"33,899","71,563","139,446","151,385","155,604","141,011","59,235","40,925","40,705","29,407","21,626","22,851"
Kanaka,0,0,0,0,0,0,0,0,0,0,0,0
Kekawaka Power House,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery Creek Hydro,379,571,"1,135","1,220","1,160","1,147","1,062",985,739,573,459,541
Springville Hydroelectric,31,47,93,100,95,94,87,81,60,47,38,44
Rancho Penasquitos,489,736,"1,464","1,573","1,496","1,480","1,370","1,271",953,740,592,698
Siphon Drop Power Plant,547,822,"1,635","1,757","1,671","1,653","1,530","1,420","1,065",826,661,779
North Hollywood,0,0,0,0,0,0,0,0,0,0,0,0
Baker Creek Hydroelectric,38,58,115,124,117,116,108,100,75,58,47,55
Total(MWh),"1,461,832","2,182,707","4,314,261","4,643,072","4,580,913","4,603,695","4,223,264","3,786,917","2,796,110","2,156,692","1,639,508","1,965,809"
