,Export(MW)
2019-01-29 00,19313.104166666668
2019-01-29 01,19448.92833333334
2019-01-29 02,19023.662500000002
2019-01-29 03,18882.0625
2019-01-29 04,19263.0
2019-01-29 05,21437.117500000004
2019-01-29 06,22914.646666666667
2019-01-29 07,23136.2825
2019-01-29 08,22785.20666666667
2019-01-29 09,21029.715833333332
2019-01-29 10,19800.463333333337
2019-01-29 11,18999.742500000004
2019-01-29 12,18798.096666666668
2019-01-29 13,14212.374166666666
2019-01-29 14,19336.5725
2019-01-29 15,20897.555
2019-01-29 16,22281.93333333333
2019-01-29 17,22937.19583333333
2019-01-29 18,23270.125
2019-01-29 19,23660.444166666668
2019-01-29 20,23448.86583333333
2019-01-29 21,22584.030833333334
2019-01-29 22,21542.150833333337
2019-01-29 23,19692.125833333335
2019-01-30 00,19105.809999999998
2019-01-30 01,18585.6375
2019-01-30 02,18670.6225
2019-01-30 03,18906.139166666668
2019-01-30 04,20403.23333333333
2019-01-30 05,22934.264166666664
2019-01-30 06,23691.84
2019-01-30 07,23831.775833333337
2019-01-30 08,23642.3125
2019-01-30 09,23311.325833333336
2019-01-30 10,21635.21666666667
2019-01-30 11,21118.654166666664
2019-01-30 12,20836.381666666668
2019-01-30 13,20433.386666666665
2019-01-30 14,20752.179999999997
2019-01-30 15,20637.474166666667
2019-01-30 16,21617.313333333328
2019-01-30 17,23195.918333333335
2019-01-30 18,23690.0275
2019-01-30 19,23807.2775
2019-01-30 20,23936.91416666667
2019-01-30 21,23055.08916666667
2019-01-30 22,21097.558333333334
2019-01-30 23,19967.3025
2019-01-31 00,19355.375
2019-01-31 01,19064.790833333333
2019-01-31 02,19043.87666666667
2019-01-31 03,18676.084166666664
2019-01-31 04,19608.638333333332
2019-01-31 05,20868.63
2019-01-31 06,23129.35333333333
2019-01-31 07,23797.16
2019-01-31 08,23273.698333333334
2019-01-31 09,23055.469999999998
2019-01-31 10,21971.686666666665
2019-01-31 11,21024.576666666664
2019-01-31 12,20780.144166666665
2019-01-31 13,20696.630833333333
2019-01-31 14,20295.08916666667
2019-01-31 15,21069.326666666664
2019-01-31 16,21870.920833333334
2019-01-31 17,22455.08083333333
2019-01-31 18,23505.868333333332
2019-01-31 19,23585.183333333334
2019-01-31 20,23266.506666666668
