name,PlantType,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost,
403_G_1,Hydro,3.2,0,0.008640606,0,3.2,0,0,14130,9999,
403_G_2,Hydro,2.9,0,0.004672969,0,2.9,0,0,14130,9999,
404_G_6,Combustion Turbine,102,40.8,50.51376252,2,34.884,2603.290351,15.45,7340,9999,
404_G_7,Combustion Turbine,102,40.8,50.52994633,2,34.884,2603.290351,15.45,7340,9999,
407_G_1,Hydro,37.5,0,0.006705794,0,37.5,0,0,14130,9999,
409_G_1,Hydro,94.5,0,0.026044515,0,94.5,0,0,14130,9999,
410_G_1,Hydro,9,0,0.049772622,0,9,0,0,14130,9999,
412_G_2P,Hydro,44,0,0.019506243,0,44,0,0,14130,9999,
413_G_3P,Hydro,27.3,0,0.044564287,0,27.3,0,0,14130,9999,
414_G_1,Hydro,11,0,0.009395003,0,11,0,0,14130,9999,
415_G_H1,Hydro,72,0,0.043530547,0,72,0,0,14130,9999,
416_G_1,Hydro,9,0,0.036684031,0,9,0,0,14130,9999,
416_G_2,Hydro,10,0,0.046570533,0,10,0,0,14130,9999,
416_G_3,Hydro,6.8,0,0.01093894,0,6.8,0,0,14130,9999,
417_G_1,Hydro,36,0,0.02267303,0,36,0,0,14130,9999,
418_G_1,Hydro,9,0,0.013210777,0,9,0,0,14130,9999,
419_G_1,Hydro,59,0,0.012326158,0,59,0,0,14130,9999,
424_G_1,Hydro,17,0,0.014404468,0,17,0,0,14130,9999,
425_G_1,Hydro,61,0,0.007599545,0,61,0,0,14130,9999,
425_G_2,Hydro,61,0,0.005669665,0,61,0,0,14130,9999,
426_G_1,Hydro,6,0,0.034237062,0,6,0,0,14130,9999,
427_G_1,Hydro,86.3,0,0.018397897,0,86.3,0,0,14130,9999,
428_G_1,Hydro,2.7,0,0.038794829,0,2.7,0,0,14130,9999,
430_G_H1,Hydro,78.9,0,0.022033463,0,78.9,0,0,14130,9999,
430_G_H2,Hydro,77,0,0.031615011,0,77,0,0,14130,9999,
431_G_H1,Hydro,78.1,0,0.004048016,0,78.1,0,0,14130,9999,
