name,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost
7552_G_CCST,53.0,21.2,29.965328999999997,4,33.867,5410.760338,3.6,13170,0.0
55933_G_TPP1,82.1,32.84,30.08349716,4,52.4619,8381.574032999999,3.6,13170,0.0
55933_G_TCC1,156.2,62.48,30.09624971,4,49.6716,15946.42952,3.6,13170,0.0
55933_G_TPP2,81.8,32.72,30.101164500000003,4,52.2702,8350.947087999999,3.6,13170,0.0
55748_G_CAG5,126.1,50.44,30.54773127,4,40.0998,12873.52601,3.6,13170,0.0
55748_G_CTG4,45.0,18.0,30.57036529,4,28.755,4594.041796,3.6,13170,0.0
55748_G_CTG3,45.0,18.0,30.57384766,4,28.755,4594.041796,3.6,13170,0.0
55748_G_CTG1,45.0,18.0,30.57950108,4,28.755,4594.041796,3.6,13170,0.0
55748_G_CTG2,45.0,18.0,30.58128247,4,28.755,4594.041796,3.6,13170,0.0
57901_G_6,60.0,24.0,30.63718883,4,38.34,6125.389061999999,3.6,13170,0.0
57901_G_7,195.0,78.0,30.65072273,4,62.01,19907.51445,3.6,13170,0.0
57901_G_8,60.0,24.0,30.65512334,4,38.34,6125.389061999999,3.6,13170,0.0
57901_G_5,195.0,78.0,30.66352909,4,62.01,19907.51445,3.6,13170,0.0
10034_G_GEN1,85.0,34.0,30.92293355,4,54.315,8677.634504000001,3.6,13170,0.0
10034_G_GEN2,30.0,12.0,30.93669113,4,19.17,3062.6945309999996,3.6,13170,0.0
7551_G_CCST,37.6,15.04,31.03445742,4,24.0264,3838.577145,3.6,13170,0.0
10342_G_TG1,35.0,14.0,31.048213,4,22.365,3573.143619,3.6,13170,0.0
10342_G_TG2,35.0,14.0,31.05507101,4,22.365,3573.143619,3.6,13170,0.0
7551_G_CT1A,47.6,19.04,31.07193318,4,30.4164,4859.475322,3.6,13170,0.0
7551_G_CT1B,47.6,19.04,31.07246142,4,30.4164,4859.475322,3.6,13170,0.0
10342_G_TG3,33.5,13.4,31.090031300000003,4,21.4065,3420.008893,3.6,13170,0.0
10294_G_GTG,73.0,29.2,31.38233223,4,46.647,7452.556692,3.6,13170,0.0
10294_G_STG,38.0,15.2,31.39691599,4,24.281999999999996,3879.413072,3.6,13170,0.0
389_G_2,31.0,12.4,31.39795154,4,19.809,3164.784349,3.6,13170,0.0
389_G_32,45.0,18.0,31.40480722,4,28.755,4594.041796,3.6,13170,0.0
389_G_2A,71.0,28.4,31.40852528,4,45.369,7248.377056,3.6,13170,0.0
389_G_30,52.0,20.8,31.42298841,4,33.228,5308.670520000001,3.6,13170,0.0
389_G_31,45.0,18.0,31.43194241,4,28.755,4594.041796,3.6,13170,0.0
10156_G_GEN2,6.0,2.4,31.48626827,4,3.8339999999999996,612.5389062,3.6,13170,0.0
10156_G_GEN4,45.0,18.0,31.49544889,4,28.755,4594.041796,3.6,13170,0.0
56026_G_STG,54.0,21.6,31.54126399,4,34.506,5512.850156,3.6,13170,0.0
56026_G_CTG1,50.0,20.0,31.54605421,4,31.95,5104.490885,3.6,13170,0.0
56026_G_CTG2,50.0,20.0,31.56712899,4,31.95,5104.490885,3.6,13170,0.0
7307_G_6,41.0,16.4,31.72227372,4,26.199,4185.682526,3.6,13170,0.0
50748_G_GEN2,7.3,2.92,31.7250313,4,4.6647,745.2556692,3.6,13170,0.0
50748_G_GEN1,24.4,9.76,31.75129036,4,15.5916,2490.991552,3.6,13170,0.0
7307_G_4,27.0,10.8,31.753251000000002,4,17.253,2756.425078,3.6,13170,0.0
7307_G_5,41.0,16.4,31.76558752,4,26.199,4185.682526,3.6,13170,0.0
10213_G_GEN6,9.1,3.64,32.06388208,4,5.8149,929.017341,3.6,13170,0.0
10213_G_GEN2,38.7,15.48,32.08793115,4,24.7293,3950.8759450000002,3.6,13170,0.0
10213_G_GEN1,38.7,15.48,32.0891606,4,24.7293,3950.8759450000002,3.6,13170,0.0
10213_G_GEN5,39.2,15.68,32.10226502,4,25.0488,4001.920854,3.6,13170,0.0
7266_G_3,48.0,19.2,32.26631188,4,30.671999999999997,4900.311249,3.6,13170,0.0
7266_G_2,37.0,14.8,32.27400167,4,23.643,3777.323255,3.6,13170,0.0
10169_G_GEN2,8.0,3.2,32.63019344,4,5.112,816.7185416,3.6,13170,0.0
10169_G_GEN1,41.3,16.52,32.64842855,4,26.3907,4216.3094710000005,3.6,13170,0.0
56356_G_ST1,7.0,2.8,32.71164071,4,4.473,714.6287239,3.6,13170,0.0
56356_G_CT1,21.0,8.4,32.71367048,4,13.419,2143.886172,3.6,13170,0.0
377_G_2,19.0,7.6,33.60183105,4,12.140999999999998,1939.706536,3.6,13170,0.0
377_G_8BC,46.0,18.4,33.63561304,4,29.394000000000002,4696.131614,3.6,13170,0.0
377_G_1,19.0,7.6,33.63788173,4,12.140999999999998,1939.706536,3.6,13170,0.0
377_G_8A,26.0,10.4,33.643894200000005,4,16.614,2654.3352600000003,3.6,13170,0.0
10623_G_GEN1,22.1,8.84,34.04654573,4,14.1219,2256.184971,3.6,13170,0.0
10623_G_GEN2,1.5,0.6,34.06594832,4,0.9585,153.1347265,3.6,13170,0.0
50849_G_GEN2,2.0,0.8,34.37425103,4,1.278,204.1796354,3.6,13170,0.0
50216_G_GN95,35.0,14.0,34.37675702,4,22.365,3573.143619,3.6,13170,0.0
50216_G_GN93,82.0,32.8,34.38108467,4,52.398,8371.365051,3.6,13170,0.0
50216_G_GN94,82.0,32.8,34.38906744,4,52.398,8371.365051,3.6,13170,0.0
50216_G_GN91,82.0,32.8,34.39573216,4,52.398,8371.365051,3.6,13170,0.0
50216_G_GN92,82.0,32.8,34.39728551,4,52.398,8371.365051,3.6,13170,0.0
50216_G_GN96,35.0,14.0,34.40278077,4,22.365,3573.143619,3.6,13170,0.0
50849_G_GEN1,21.0,8.4,34.41263058,4,13.419,2143.886172,3.6,13170,0.0
10405_G_GEN1,22.0,8.8,36.14503235,4,14.058,2245.975989,3.6,13170,0.0
10405_G_GEN2,11.8,4.72,36.17263772,4,7.5402,1204.6598490000001,3.6,13170,0.0
7527_G_CCCT,51.2,20.48,37.33985219,4,32.7168,5226.9986659999995,3.6,13170,0.0
7527_G_2,16.6,6.64,37.34053937,4,10.6074,1694.6909739999999,3.6,13170,0.0
399_G_5,56.0,22.4,39.86468322,4,35.784,5717.029791,3.6,13170,0.0
399_G_10A,72.0,28.8,39.88217527,4,46.008,7350.466874,3.6,13170,0.0
399_G_10B,72.0,28.8,39.89625422,4,46.008,7350.466874,3.6,13170,0.0
50541_G_ST1,9.9,3.96,40.62300435,4,6.3261,1010.6891949999999,3.6,13170,0.0
50541_G_ST2,11.0,4.4,40.63539966,4,7.029,1122.987995,3.6,13170,0.0
50541_G_GEN1,80.8,32.32,40.64837367,4,51.6312,8248.85727,3.6,13170,0.0
400_B_2,222.0,88.8,42.02754066,7,51.282,22663.93953,4.47,37800,4.202754066000001
400_B_1,222.0,88.8,42.04931796,7,51.282,22663.93953,4.47,37800,4.204931796
404_B_2,156.3,62.52,43.66816656,7,36.1053,15956.638509999999,4.47,37800,4.366816656
404_B_1,111.8,44.72,44.13929876,7,25.8258,11413.64162,4.47,37800,4.413929876
377_G_5,40.0,16.0,51.80437749,7,9.24,4083.5927079999997,4.47,37800,5.180437749
10684_B_BLR22,272.1,108.84,53.10174656,7,62.8551,27778.6394,4.47,37800,5.310174656
10175_G_0799,2.0,0.5,261.4653927,1,0.684,51.04490885,15.45,7340,9999.0
400_G_11,96.3,38.52,50.52285594,2,32.9346,2457.812361,15.45,7340,9999.0
400_G_12,96.3,38.52,50.52062262,2,32.9346,2457.812361,15.45,7340,9999.0
400_G_13,96.3,38.52,50.53251394,2,32.9346,2457.812361,15.45,7340,9999.0
400_G_14,96.3,38.52,50.52686031,2,32.9346,2457.812361,15.45,7340,9999.0
400_G_15,96.3,38.52,50.53102854,2,32.9346,2457.812361,15.45,7340,9999.0
400_G_16,96.3,38.52,50.497556200000005,2,32.9346,2457.812361,15.45,7340,9999.0
404_G_6,102.0,40.8,50.51376252,2,34.884,2603.290351,15.45,7340,9999.0
404_G_7,102.0,40.8,50.52994633,2,34.884,2603.290351,15.45,7340,9999.0
50134_G_GTAG,75.0,30.0,43.82588599,2,25.65,1914.184082,15.45,7340,9999.0
