Energy.Source.1,Technology,Utility.ID,Generator.ID,Prime.Mover,Nameplate.Capacity..MW.,Nameplate.Power.Factor,Summer.Capacity..MW.,Winter.Capacity..MW.,Minimum.Load..MW.,Planned.Retirement.Month,Planned.Retirement.Year,VOM,fuelTypes,unit,heatRateLow,heatRateHigh,fuelCost,Notes,capacityQuantile,capacityQuan
DFO,Petroleum Liquids,58893,EG1B,IC,2.2,0.97,2.2,2.2,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.378640777,B
DFO,Petroleum Liquids,61087,G-5,IC,3,1,3,3,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.844660194,A
DFO,Petroleum Liquids,57222,KB5,IC,2.5,0.94,2,2,0.6,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.776699029,A
DFO,Petroleum Liquids,61087,G-1,IC,3,1,3,3,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.844660194,A
DFO,Petroleum Liquids,61087,G-10,IC,3,1,3,3,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.844660194,A
DFO,Petroleum Liquids,58893,EG3B,IC,2.2,0.97,2.2,2.2,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.378640777,B
GEO,Geothermal,49899,4100,ST,47.5,0.85,44,44,2,NA,NA,2.86,otherRenewable,N/A,0,0,0,Geothermal,0.717647059,B
GEO,Geothermal,56791,HRP1,ST,55,1,49.9,49.9,15,NA,NA,2.86,otherRenewable,N/A,0,0,0,Geothermal,0.752941176,A
GEO,Geothermal,49748,GE11,BT,4.5,0.8,3.8,4,3.8,NA,NA,2.86,otherRenewable,N/A,0,0,0,Geothermal,0.141176471,C
GEO,Geothermal,7160,UNT2,ST,88.2,1,50,55,15,NA,NA,2.86,otherRenewable,N/A,0,0,0,Geothermal,0.894117647,A
GEO,Geothermal,49748,GEN8,BT,4.5,0.8,3.8,4,3.8,NA,NA,2.86,otherRenewable,N/A,0,0,0,Geothermal,0.141176471,C
