,OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
74,3/30/19,22,0,2019-03-31T04:00:00-00:00,2019-03-31T05:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,702.18,DAM,4
97,3/30/19,22,0,2019-03-31T04:00:00-00:00,2019-03-31T05:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,5
22,3/30/19,23,0,2019-03-31T05:00:00-00:00,2019-03-31T06:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
42,3/30/19,23,0,2019-03-31T05:00:00-00:00,2019-03-31T06:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,306.02,DAM,2
59,3/30/19,23,0,2019-03-31T05:00:00-00:00,2019-03-31T06:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
75,3/30/19,23,0,2019-03-31T05:00:00-00:00,2019-03-31T06:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,620.79,DAM,4
98,3/30/19,23,0,2019-03-31T05:00:00-00:00,2019-03-31T06:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,5
23,3/30/19,24,0,2019-03-31T06:00:00-00:00,2019-03-31T07:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
41,3/30/19,24,0,2019-03-31T06:00:00-00:00,2019-03-31T07:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,291.44,DAM,2
57,3/30/19,24,0,2019-03-31T06:00:00-00:00,2019-03-31T07:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,3
76,3/30/19,24,0,2019-03-31T06:00:00-00:00,2019-03-31T07:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,553.59,DAM,4
99,3/30/19,24,0,2019-03-31T06:00:00-00:00,2019-03-31T07:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,5
116,3/31/19,1,0,2019-03-31T07:00:00-00:00,2019-03-31T08:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,6
117,3/31/19,1,0,2019-03-31T07:00:00-00:00,2019-03-31T08:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,342.12,DAM,7
118,3/31/19,1,0,2019-03-31T07:00:00-00:00,2019-03-31T08:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,8
119,3/31/19,1,0,2019-03-31T07:00:00-00:00,2019-03-31T08:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,826.62,DAM,9
120,3/31/19,1,0,2019-03-31T07:00:00-00:00,2019-03-31T08:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,10
