"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","SLRS_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_ZONE_NAME","SCHEDULE","XML_DATA_ITEM","POS","MW","GROUP"
"115","2019-09-09T13:00:00-00:00","2019-09-09T13:05:00-00:00","ALL","2019-09-09",7,1,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21490.59,1
"116","2019-09-09T14:20:00-00:00","2019-09-09T14:25:00-00:00","ALL","2019-09-09",8,5,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21332.84,1
"117","2019-09-09T14:35:00-00:00","2019-09-09T14:40:00-00:00","ALL","2019-09-09",8,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22314.65,1
"118","2019-09-09T15:05:00-00:00","2019-09-09T15:10:00-00:00","ALL","2019-09-09",9,2,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22249.99,1
"119","2019-09-09T17:25:00-00:00","2019-09-09T17:30:00-00:00","ALL","2019-09-09",11,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21149.44,1
"120","2019-09-09T17:30:00-00:00","2019-09-09T17:35:00-00:00","ALL","2019-09-09",11,7,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21272.61,1
"121","2019-09-09T17:50:00-00:00","2019-09-09T17:55:00-00:00","ALL","2019-09-09",11,11,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21441.42,1
"122","2019-09-09T18:05:00-00:00","2019-09-09T18:10:00-00:00","ALL","2019-09-09",12,2,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21349.45,1
"123","2019-09-09T18:10:00-00:00","2019-09-09T18:15:00-00:00","ALL","2019-09-09",12,3,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21526.07,1
"124","2019-09-09T19:00:00-00:00","2019-09-09T19:05:00-00:00","ALL","2019-09-09",13,1,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21546.59,1
"125","2019-09-09T20:05:00-00:00","2019-09-09T20:10:00-00:00","ALL","2019-09-09",14,2,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22715.25,1
"126","2019-09-09T20:40:00-00:00","2019-09-09T20:45:00-00:00","ALL","2019-09-09",14,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22243.25,1
"127","2019-09-09T20:45:00-00:00","2019-09-09T20:50:00-00:00","ALL","2019-09-09",14,10,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22251.95,1
"128","2019-09-09T21:25:00-00:00","2019-09-09T21:30:00-00:00","ALL","2019-09-09",15,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22798.46,1
"129","2019-09-09T22:25:00-00:00","2019-09-09T22:30:00-00:00","ALL","2019-09-09",16,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,23174.7,1
"130","2019-09-09T22:30:00-00:00","2019-09-09T22:35:00-00:00","ALL","2019-09-09",16,7,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22916.61,1
"131","2019-09-09T22:35:00-00:00","2019-09-09T22:40:00-00:00","ALL","2019-09-09",16,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22488.91,1
"132","2019-09-09T22:45:00-00:00","2019-09-09T22:50:00-00:00","ALL","2019-09-09",16,10,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22521.03,1
